,artist,rank,title,week
2127,Slick Rick,3,I Shouldn't Have Done It,4--
2128,Compton's Most Wanted,4,Growin' Up In The Hood,4--
2129,DJ Quik,5,Tonite,4--
2130,Heavy D & The Boyz,6,Now That We Found Love,4--
2131,LL Cool J,7,6 Minutes Of Pleasure,4--
2132,D.J. Jazzy Jeff & The Fresh Prince,8,Summertime,4--
2133,Kool Moe Dee,9,How Kool Can One Black Man Be,4--
2134,Naughty By Nature,10,O.P.P.,4--
2135,T.C.F.,11,If You Wanna Sex Me Up,4--
2136,M.C. Breed & D.F.C.,12,Ain't No Future In Yo' Fronting,4--
2137,Redhead Kingpin,13,It's A Love Thang,4--
2138,Greyson & Jason,14,Get Bizzy,4--
2139,AMG,15,Bitch Betta Have My Money,4--
2140,Biz Markie,16,What Comes Around Goes Around,4--
2141,Tim Dog,17,F-ck Compton,4--
2142,Yo-Yo,18,Ain't Nobody Better,4--
2143,Leaders Of The New School,19,Sobb Story,4--
2144,Main Source,20,Just Hangin' Out,4--
2145,3rd Bass,21,Pop Goes The Weasel,4--
2146,Justin Warfield,22,Season Of The Vic,4--
2147,Larry Larr,23,Confused,4--
2148,Geto Boys,24,Mind Playing Tricks On Me,4--
2149,Rodney O & Joe Cooley,25,Get Ready To Roll,4--
2150,Jibri Wise One,1,The House The Dog Built,1--
2151,Compton's Most Wanted,2,Growin' Up In The Hood,1--
2152,DJ Quik,3,Tonite,1--
2153,Naughty By Nature,4,O.P.P.,1--
2154,Chubb Rock,5,The Chubbster,1--
2155,Heavy D & The Boyz,6,Now That We Found Love,1--
2156,Slick Rick,7,I Shouldn't Have Done It,1--
2157,LL Cool J,8,6 Minutes Of Pleasure,1--
2158,T.C.F.,9,If You Wanna Sex Me Up,1--
2159,Greyson & Jason,10,Get Bizzy,1--
2160,Kool Moe Dee,11,How Kool Can One Black Man Be,1--
2161,D.J. Jazzy Jeff & The Fresh Prince,12,Summertime,1--
2162,Redhead Kingpin,13,It's A Love Thang,1--
2163,M.C. Breed & D.F.C.,14,Ain't No Future In Yo' Fronting,1--
2164,Biz Markie,15,What Comes Around Goes Around,1--
2165,Yo-Yo,16,Ain't Nobody Better,1--
2166,Tim Dog,17,F-ck Compton,1--
2167,Leaders Of The New School,18,Sobb Story,1--
2168,AMG,19,Bitch Betta Have My Money,1--
2169,Geto Boys,20,Mind Playing Tricks On Me,1--
2170,Justin Warfield,21,Season Of The Vic,1--
2171,Main Source,22,Just Hangin' Out,1--
2172,Larry Larr,23,Confused,1--
2173,3rd Bass,24,Pop Goes The Weasel,1--
2174,Oaktown's 3.5.7,25,Turn It Up,1--
2175,Compton's Most Wanted,1,Growin' Up In The Hood,7--
2176,Jibri Wise One,2,The House The Dog Built,7--
2177,Naughty By Nature,3,O.P.P.,7--
2178,T.C.F.,4,If You Wanna Sex Me Up,7--
2179,Chubb Rock,5,The Chubbster,7--
2180,DJ Quik,6,Tonite,7--
2181,Greyson & Jason,7,Get Bizzy,7--
2182,Heavy D & The Boyz,8,Now That We Found Love,7--
2183,Tim Dog,9,F-ck Compton,7--
2184,Yo-Yo,10,Ain't Nobody Better,7--
2185,Biz Markie,11,What Comes Around Goes Around,7--
2186,Redhead Kingpin,12,It's A Love Thang,7--
2187,Leaders Of The New School,13,Sobb Story,7--
2188,Geto Boys,14,Mind Playing Tricks On Me,7--
2189,M.C. Breed & D.F.C.,15,Ain't No Future In Yo' Fronting,7--
2190,LL Cool J,16,6 Minutes Of Pleasure,7--
2191,Slick Rick,17,I Shouldn't Have Done It,7--
2192,Justin Warfield,18,Season Of The Vic,7--
2193,D.J. Jazzy Jeff & The Fresh Prince,19,Summertime,7--
2194,Larry Larr,20,Confused,7--
2195,AMG,21,Bitch Betta Have My Money,7--
2196,Kool Moe Dee,22,How Kool Can One Black Man Be,7--
2197,Nice & Smooth,23,Hip Hop Junkies,7--
2198,Oaktown's 3.5.7,24,Turn It Up,7--
2199,ED O.G & DA Bulldogs,25,Bug-A-Boo,7--
2200,Naughty By Nature,1,O.P.P.,4--
2201,Compton's Most Wanted,2,Growin' Up In The Hood,4--
2202,Jibri Wise One,3,The House The Dog Built,4--
2203,T.C.F.,4,If You Wanna Sex Me Up,4--
2204,Yo-Yo,5,Ain't Nobody Better,4--
2205,Greyson & Jason,6,Get Bizzy,4--
2206,Tim Dog,7,F-ck Compton,4--
2207,Biz Markie,8,What Comes Around Goes Around,4--
2208,Geto Boys,9,Mind Playing Tricks On Me,4--
2209,Leaders Of The New School,10,Sobb Story,4--
2210,DJ Quik,11,Tonite,4--
2211,Heavy D & The Boyz,12,Now That We Found Love,4--
2212,M.C. Breed & D.F.C.,13,Ain't No Future In Yo' Fronting,4--
2213,Chubb Rock,14,The Chubbster,4--
2214,Redhead Kingpin,15,It's A Love Thang,4--
2215,Larry Larr,16,Confused,4--
2216,Nice & Smooth,17,Hip Hop Junkies,4--
2217,D.J. Jazzy Jeff & The Fresh Prince,18,Summertime,4--
2218,Oaktown's 3.5.7,19,Turn It Up,4--
2219,Hi-C,20,I'm Not Your Puppet,4--
2220,Justin Warfield,21,Season Of The Vic,4--
2221,Latin Alliance,22,Low Rider (On The Boulevard),4--
2222,LL Cool J,23,6 Minutes Of Pleasure,4--
2223,Slick Rick,24,I Shouldn't Have Done It,4--
2224,2 Kings In A Cipher,25,Definition Of A King,4--
2225,Naughty By Nature,1,O.P.P.,1--
2226,Compton's Most Wanted,2,Growin' Up In The Hood,1--
2227,Tim Dog,3,F-ck Compton,1--
2228,T.C.F.,4,If You Wanna Sex Me Up,1--
2229,Geto Boys,5,Mind Playing Tricks On Me,1--
2230,Yo-Yo,6,Ain't Nobody Better,1--
2231,Jibri Wise One,7,The House The Dog Built,1--
2232,Biz Markie,8,What Comes Around Goes Around,1--
2233,Greyson & Jason,9,Get Bizzy,1--
2234,Leaders Of The New School,10,Sobb Story,1--
2235,Nice & Smooth,11,Hip Hop Junkies,1--
2236,M.C. Breed & D.F.C.,12,Ain't No Future In Yo' Fronting,1--
2237,Larry Larr,13,Confused,1--
2238,Heavy D & The Boyz,14,Now That We Found Love,1--
2239,Black Sheep,15,Flavor Of The Month,1--
2240,DJ Quik,16,Tonite,1--
2241,2 Kings In A Cipher,17,Definition Of A King,1--
2242,Latin Alliance,18,Low Rider (On The Boulevard),1--
2243,Oaktown's 3.5.7,19,Turn It Up,1--
2244,Chubb Rock,20,The Chubbster,1--
2245,Redhead Kingpin,21,It's A Love Thang,1--
2246,Salt-N-Pepa,22,Let's Talk About Sex,1--
2247,Hi-C,23,I'm Not Your Puppet,1--
2248,Def Jef,24,Here We Go Again,1--
2249,AMG,25,Bitch Betta Have My Money,1--
2250,Naughty By Nature,1,O.P.P.,8--
2251,Tim Dog,2,F-ck Compton,8--
2252,Geto Boys,3,Mind Playing Tricks On Me,8--
2253,Yo-Yo,4,Ain't Nobody Better,8--
2254,Biz Markie,5,What Comes Around Goes Around,8--
2255,Compton's Most Wanted,6,Growin' Up In The Hood,8--
2256,T.C.F.,7,If You Wanna Sex Me Up,8--
2257,Leaders Of The New School,8,Sobb Story,8--
2258,Nice & Smooth,9,Hip Hop Junkies,8--
2259,Greyson & Jason,10,Get Bizzy,8--
2260,Black Sheep,11,Flavor Of The Month,8--
2261,Jibri Wise One,12,The House The Dog Built,8--
2262,M.C. Breed & D.F.C.,13,Ain't No Future In Yo' Fronting,8--
2263,Larry Larr,14,Confused,8--
2264,Latin Alliance,15,Low Rider (On The Boulevard),8--
2265,2 Kings In A Cipher,16,Definition Of A King,8--
2266,Salt-N-Pepa,17,Let's Talk About Sex,8--
2267,H.E.A.L.,18,Heal Yourself,8--
2268,Oaktown's 3.5.7,19,Turn It Up,8--
2269,UMC's,20,Blue Cheese,8--
2270,The Jaz,21,A Groove (This Is What U Rap 2),8--
2271,Heavy D & The Boyz,22,Now That We Found Love,8--
2272,Hi-C,23,I'm Not Your Puppet,8--
2273,Def Jef,24,Here We Go Again,8--
2274,DJ Quik,25,Tonite,8--
2275,Naughty By Nature,1,O.P.P.,5--
2276,Tim Dog,2,F-ck Compton,5--
2277,Geto Boys,3,Mind Playing Tricks On Me,5--
2278,Yo-Yo,4,Ain't Nobody Better,5--
2279,Biz Markie,5,What Comes Around Goes Around,5--
2280,Nice & Smooth,6,Hip Hop Junkies,5--
2281,Black Sheep,7,Flavor Of The Month,5--
2282,Leaders Of The New School,8,Sobb Story,5--
2283,Compton's Most Wanted,9,Growin' Up In The Hood,5--
2284,Larry Larr,10,Confused,5--
2285,2 Kings In A Cipher,11,Definition Of A King,5--
2286,H.E.A.L.,12,Heal Yourself,5--
2287,Salt-N-Pepa,13,Let's Talk About Sex,5--
2288,M.C. Breed & D.F.C.,14,Ain't No Future In Yo' Fronting,5--
2289,MC Lyte,15,When In Love,5--
2290,Latin Alliance,16,Low Rider (On The Boulevard),5--
2291,T.C.F.,17,If You Wanna Sex Me Up,5--
2292,The Jaz,18,A Groove (This Is What U Rap 2),5--
2293,Def Jef,19,Here We Go Again,5--
2294,Kid 'N Play,20,Ain't Gonna Hurt Nobody,5--
2295,Yomo & Maulkie,21,Glory,5--
2296,UMC's,22,Blue Cheese,5--
2297,Jibri Wise One,23,The House The Dog Built,5--
2298,Above The Law,24,4 The Funk of It,5--
2299,The 2 Live Crew,25,Pop That Coochie,5--
2300,Tim Dog,1,F-ck Compton,2--
2301,Geto Boys,2,Mind Playing Tricks On Me,2--
2302,Naughty By Nature,3,O.P.P.,2--
2303,Biz Markie,4,What Comes Around Goes Around,2--
2304,Nice & Smooth,5,Hip Hop Junkies,2--
2305,Black Sheep,6,Flavor Of The Month,2--
2306,Yo-Yo,7,Ain't Nobody Better,2--
2307,Leaders Of The New School,8,Sobb Story,2--
2308,MC Lyte,9,When In Love,2--
2309,H.E.A.L.,10,Heal Yourself,2--
2310,A Tribe Called Quest,11,Check The Rhime,2--
2311,Salt-N-Pepa,12,Let's Talk About Sex,2--
2312,Larry Larr,13,Confused,2--
2313,UMC's,14,Blue Cheese,2--
