,artist,rank,title
3371,DJ Quik,22,Jus Lyke Compton
3372,Sir Mix-A-Lot,23,Baby Got Back
3373,K-Solo,24,I Can't Hold Back
3374,Beastie Boys,25,So What'cha Want
3375,Kris Kross,1,Warm It Up
3376,Eric B. & Rakim,2,Don't Sweat The Technique
3377,Yo-Yo,3,Home Girl Don't Play Dat
3378,Main Source,4,Fakin' The Funk
3379,Black Sheep,5,Strobelite Honey
3380,EPMD,6,Crossover
3381,Too $hort,7,I Want To Be Free
3382,House Of Pain,8,Jump Around
3383,Gang Starr,9,Take It Personal
3384,Pete Rock & C.L. Smooth,10,They Reminisce Over You (T.R.O.Y.)
3385,Kid Frost,11,Thin Line
3386,N2Deep,12,Back To The Hotel
3387,Monie Love,13,"Full Term Love (From ""Class Act"")"
3388,Fu-Schnickens,14,La Schmoove
3389,Spice 1,15,Welcome To The Ghetto
3390,DJ Quik,16,Jus Lyke Compton
3391,Chi-Ali,17,Roadrunner
3392,Heavy D & The Boyz,18,Don't Curse/You Can't See What I See
3393,Beastie Boys,19,So What'cha Want
3394,M.C. Breed,20,Ain't To Be F...ed With
3395,Super Cat,21,Ghetto Red Hot
3396,Das EFX,22,They Want EFX
3397,A.D.O.R.,23,Let It All Hang Out
3398,K-Solo,24,I Can't Hold Back
3399,Sir Mix-A-Lot,25,Baby Got Back
3400,Eric B. & Rakim,1,Don't Sweat The Technique
3401,Kris Kross,2,Warm It Up
3402,Main Source,3,Fakin' The Funk
3403,Yo-Yo,4,Home Girl Don't Play Dat
3404,EPMD,5,Crossover
3405,House Of Pain,6,Jump Around
3406,Too $hort,7,I Want To Be Free
3407,Monie Love,8,"Full Term Love (From ""Class Act"")"
3408,DJ Quik,9,Jus Lyke Compton
3409,Spice 1,10,Welcome To The Ghetto
3410,Kid Frost,11,Thin Line
3411,Chi-Ali,12,Roadrunner
3412,N2Deep,13,Back To The Hotel
3413,Pete Rock & C.L. Smooth,14,They Reminisce Over You (T.R.O.Y.)
3414,Gang Starr,15,Take It Personal
3415,Super Cat,16,Ghetto Red Hot
